a,b,sim,mode,p1_final_edges,p2_final_edges,edge_jaccard,gap,ab_after_sim_ratio,sim_after_ab_ratio
4,2,0.12,sim_left,1146,1146,1.0,0.0,0.9939288811795317,0.9956559513466551
4,2,0.12,both,1146,1146,1.0,0.0,0.9939288811795317,0.9956559513466551
4,2,0.13,sim_left,1118,1118,1.0,0.0,0.9937777777777778,0.9713292788879235
4,2,0.13,both,1118,1118,1.0,0.0,0.9937777777777778,0.9713292788879235
4,2,0.14,sim_left,1000,1000,1.0,0.0,0.9930486593843099,0.8688097306689835
4,2,0.14,both,982,979,0.9969450101832994,0.003054989816700611,0.9898887765419616,0.8531711555169418
4,2,0.15,sim_left,908,905,0.9966960352422908,0.003303964757709251,0.9890710382513661,0.788879235447437
4,2,0.15,both,859,855,0.9837962962962963,0.004656577415599534,0.981630309988519,0.7463075586446568
4,2,0.16,sim_left,631,615,0.9438377535101404,0.025356576862123614,0.9490740740740741,0.5482189400521286
4,2,0.16,both,569,534,0.9083044982698962,0.061511423550087874,0.9238754325259516,0.4943527367506516
4,2,0.17,sim_left,506,473,0.9009708737864077,0.06521739130434782,0.904397705544933,0.43961772371850566
4,2,0.17,both,410,365,0.8585131894484412,0.10975609756097561,0.8608490566037735,0.35621198957428324
4,2,0.18,sim_left,477,435,0.8765432098765432,0.0880503144654088,0.8805668016194332,0.4144222415291051
4,2,0.18,both,386,330,0.821882951653944,0.14507772020725387,0.825,0.3353605560382276
4,2,0.19,sim_left,337,297,0.8323699421965318,0.11869436201780416,0.8461538461538461,0.29278887923544744
4,2,0.19,both,223,122,0.5131578947368421,0.452914798206278,0.547085201793722,0.19374456993918332
4,2,0.2,sim_left,312,269,0.8099688473520249,0.13782051282051283,0.8251533742331288,0.2710686359687228
4,2,0.2,both,210,102,0.45794392523364486,0.5142857142857142,0.4857142857142857,0.18245004344048654
4,2,0.21,sim_left,186,146,0.6683417085427136,0.21505376344086022,0.7121951219512195,0.16159860990443092
4,2,0.21,both,81,8,0.09876543209876543,0.9012345679012346,0.0898876404494382,0.07037358818418767
4,2,0.22,sim_left,135,85,0.5277777777777778,0.37037037037037035,0.551948051948052,0.11728931364031277
4,2,0.22,both,58,8,0.13793103448275862,0.8620689655172413,0.11940298507462686,0.05039096437880104
4,2,0.23,sim_left,102,65,0.6372549019607843,0.3627450980392157,0.5803571428571429,0.08861859252823631
4,2,0.23,both,27,0,0.0,1.0,0.0,0.023457862728062554
4,2,0.24,sim_left,29,8,0.27586206896551724,0.7241379310344828,0.20512820512820512,0.02519548218940052
